OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-R1COOH]+,[M+H-R2COOH]+,[M+H-R3COOH]+
OxTG(14:0_16:1_22:1(Ke_or_Epoxy))+NH4,890.7808504,855.7437304,645.5453764,619.5296764,521.4564764
OxTG(14:0_16:1_22:2(Ke_or_Epoxy))+NH4,888.7651504,853.7280304,643.5296764,617.5139764,521.4564764
OxTG(14:0_16:1_22:3(Ke_or_Epoxy))+NH4,886.7495504,851.7124304,641.5140764,615.4983764,521.4564764
OxTG(14:0_16:1_22:4(Ke_or_Epoxy))+NH4,884.7338504,849.6967304,639.4983764,613.4826764,521.4564764
OxTG(14:0_16:1_22:5(Ke_or_Epoxy))+NH4,882.7182504,847.6811304,637.4827764,611.4670764,521.4564764
OxTG(14:0_16:1_22:6(Ke_or_Epoxy))+NH4,880.7025504,845.6654304,635.4670764,609.4513764,521.4564764
OxTG(14:0_16:1_24:1(Ke_or_Epoxy))+NH4,918.8121504,883.7750304,673.5766764,647.5609764,521.4564764
OxTG(14:0_18:0_14:1(Ke_or_Epoxy))+NH4,808.7025504,773.6654304,563.4670764,507.4044764,551.5033764
OxTG(14:0_18:0_15:1(Ke_or_Epoxy))+NH4,822.7181504,787.6810304,577.4826764,521.4200764,551.5033764
OxTG(14:0_18:0_16:1(Ke_or_Epoxy))+NH4,836.7338504,801.6967304,591.4983764,535.4357764,551.5033764
OxTG(14:0_18:0_17:1(Ke_or_Epoxy))+NH4,850.7494504,815.7123304,605.5139764,549.4513764,551.5033764
OxTG(14:0_18:0_17:2(Ke_or_Epoxy))+NH4,848.7338504,813.6967304,603.4983764,547.4357764,551.5033764
OxTG(14:0_18:0_18:1(Ke_or_Epoxy))+NH4,864.7651504,829.7280304,619.5296764,563.4670764,551.5033764
OxTG(14:0_18:0_18:2(Ke_or_Epoxy))+NH4,862.7494504,827.7123304,617.5139764,561.4513764,551.5033764
OxTG(14:0_18:0_18:3(Ke_or_Epoxy))+NH4,860.7338504,825.6967304,615.4983764,559.4357764,551.5033764
OxTG(14:0_18:0_18:4(Ke_or_Epoxy))+NH4,858.7181504,823.6810304,613.4826764,557.4200764,551.5033764
OxTG(14:0_18:0_20:1(Ke_or_Epoxy))+NH4,892.7964504,857.7593304,647.5609764,591.4983764,551.5033764
OxTG(14:0_18:0_20:2(Ke_or_Epoxy))+NH4,890.7807504,855.7436304,645.5452764,589.4826764,551.5033764
OxTG(14:0_18:0_20:3(Ke_or_Epoxy))+NH4,888.7651504,853.7280304,643.5296764,587.4670764,551.5033764
OxTG(14:0_18:0_20:5(Ke_or_Epoxy))+NH4,884.7338504,849.6967304,639.4983764,583.4357764,551.5033764
OxTG(14:0_18:0_22:1(Ke_or_Epoxy))+NH4,920.8277504,885.7906304,675.5922764,619.5296764,551.5033764
OxTG(14:0_18:0_22:2(Ke_or_Epoxy))+NH4,918.8120504,883.7749304,673.5765764,617.5139764,551.5033764
OxTG(14:0_18:0_22:3(Ke_or_Epoxy))+NH4,916.7964504,881.7593304,671.5609764,615.4983764,551.5033764
OxTG(14:0_18:0_22:4(Ke_or_Epoxy))+NH4,914.7807504,879.7436304,669.5452764,613.4826764,551.5033764
OxTG(14:0_18:0_22:5(Ke_or_Epoxy))+NH4,912.7651504,877.7280304,667.5296764,611.4670764,551.5033764
OxTG(14:0_18:0_22:6(Ke_or_Epoxy))+NH4,910.7494504,875.7123304,665.5139764,609.4513764,551.5033764
OxTG(14:0_18:0_24:1(Ke_or_Epoxy))+NH4,948.8590504,913.8219304,703.6235764,647.5609764,551.5033764
OxTG(14:0_18:1_14:1(Ke_or_Epoxy))+NH4,806.6869504,771.6498304,561.4514764,507.4044764,549.4877764
OxTG(14:0_18:1_15:1(Ke_or_Epoxy))+NH4,820.7025504,785.6654304,575.4670764,521.4200764,549.4877764
OxTG(14:0_18:1_16:1(Ke_or_Epoxy))+NH4,834.7182504,799.6811304,589.4827764,535.4357764,549.4877764
OxTG(14:0_18:1_17:1(Ke_or_Epoxy))+NH4,848.7338504,813.6967304,603.4983764,549.4513764,549.4877764
OxTG(14:0_18:1_17:2(Ke_or_Epoxy))+NH4,846.7182504,811.6811304,601.4827764,547.4357764,549.4877764
OxTG(14:0_18:1_18:1(Ke_or_Epoxy))+NH4,862.7495504,827.7124304,617.5140764,563.4670764,549.4877764
OxTG(14:0_18:1_18:2(Ke_or_Epoxy))+NH4,860.7338504,825.6967304,615.4983764,561.4513764,549.4877764
OxTG(14:0_18:1_18:3(Ke_or_Epoxy))+NH4,858.7182504,823.6811304,613.4827764,559.4357764,549.4877764
OxTG(14:0_18:1_18:4(Ke_or_Epoxy))+NH4,856.7025504,821.6654304,611.4670764,557.4200764,549.4877764
OxTG(14:0_18:1_20:1(Ke_or_Epoxy))+NH4,890.7808504,855.7437304,645.5453764,591.4983764,549.4877764
OxTG(14:0_18:1_20:2(Ke_or_Epoxy))+NH4,888.7651504,853.7280304,643.5296764,589.4826764,549.4877764
OxTG(14:0_18:1_20:3(Ke_or_Epoxy))+NH4,886.7495504,851.7124304,641.5140764,587.4670764,549.4877764
OxTG(14:0_18:1_20:5(Ke_or_Epoxy))+NH4,882.7182504,847.6811304,637.4827764,583.4357764,549.4877764
OxTG(14:0_18:1_22:1(Ke_or_Epoxy))+NH4,918.8121504,883.7750304,673.5766764,619.5296764,549.4877764
OxTG(14:0_18:1_22:2(Ke_or_Epoxy))+NH4,916.7964504,881.7593304,671.5609764,617.5139764,549.4877764
OxTG(14:0_18:1_22:3(Ke_or_Epoxy))+NH4,914.7808504,879.7437304,669.5453764,615.4983764,549.4877764
OxTG(14:0_18:1_22:4(Ke_or_Epoxy))+NH4,912.7651504,877.7280304,667.5296764,613.4826764,549.4877764
OxTG(14:0_18:1_22:5(Ke_or_Epoxy))+NH4,910.7495504,875.7124304,665.5140764,611.4670764,549.4877764
OxTG(14:0_18:1_22:6(Ke_or_Epoxy))+NH4,908.7338504,873.6967304,663.4983764,609.4513764,549.4877764
OxTG(14:0_18:1_24:1(Ke_or_Epoxy))+NH4,946.8434504,911.8063304,701.6079764,647.5609764,549.4877764
